new_name,source_name
actions_adjustments_search.svg,adjustments-search.svg
actions_basket_search.svg,basket-search.svg
actions_bell_search.svg,bell-search.svg
actions_calendar_search.svg,calendar-search.svg
actions_checkbox.svg,checkbox.svg
actions_circle_plus_minus.svg,circle-plus-minus.svg
actions_clipboard_search.svg,clipboard-search.svg
actions_clock_search.svg,clock-search.svg
actions_cloud_search.svg,cloud-search.svg
actions_copy_check.svg,copy-check.svg
actions_copy_minus.svg,copy-minus.svg
actions_copy_plus.svg,copy-plus.svg
actions_copy_x.svg,copy-x.svg
actions_link_minus.svg,link-minus.svg
actions_link_plus.svg,link-plus.svg
actions_player_track_next.svg,player-track-next.svg
actions_playlist_x.svg,playlist-x.svg
actions_playstation_x.svg,playstation-x.svg
actions_plus_minus.svg,plus-minus.svg
actions_search.svg,search.svg
actions_shareplay.svg,shareplay.svg
actions_text_plus.svg,text-plus.svg
actions_text_spellcheck.svg,text-spellcheck.svg
actions_trash_x.svg,trash-x.svg
edit_adjustments_spark.svg,adjustments-spark.svg
edit_bookmark_edit.svg,bookmark-edit.svg
edit_cash_edit.svg,cash-edit.svg
edit_clock_edit.svg,clock-edit.svg
edit_credits.svg,credits.svg
edit_edit.svg,edit.svg
edit_file_pencil.svg,file-pencil.svg
edit_filter_2_edit.svg,filter-2-edit.svg
edit_filter_2_spark.svg,filter-2-spark.svg
edit_filter_edit.svg,filter-edit.svg
edit_filter_spark.svg,filter-spark.svg
edit_pencil.svg,pencil.svg
edit_pencil_bolt.svg,pencil-bolt.svg
edit_pencil_cancel.svg,pencil-cancel.svg
edit_pencil_check.svg,pencil-check.svg
edit_pencil_code.svg,pencil-code.svg
edit_pencil_cog.svg,pencil-cog.svg
edit_pencil_down.svg,pencil-down.svg
edit_pencil_exclamation.svg,pencil-exclamation.svg
edit_pencil_heart.svg,pencil-heart.svg
edit_pencil_minus.svg,pencil-minus.svg
edit_pencil_pause.svg,pencil-pause.svg
edit_pencil_pin.svg,pencil-pin.svg
edit_pencil_plus.svg,pencil-plus.svg
edit_pencil_question.svg,pencil-question.svg
edit_pencil_search.svg,pencil-search.svg
edit_pencil_share.svg,pencil-share.svg
edit_pencil_star.svg,pencil-star.svg
edit_pencil_up.svg,pencil-up.svg
edit_pencil_x.svg,pencil-x.svg
graph_data_chart_arcs.svg,chart-arcs.svg
graph_data_chart_arcs_3.svg,chart-arcs-3.svg
graph_data_chart_area.svg,chart-area.svg
graph_data_chart_arrows.svg,chart-arrows.svg
graph_data_chart_bar.svg,chart-bar.svg
graph_data_chart_bubble.svg,chart-bubble.svg
graph_data_chart_candle.svg,chart-candle.svg
graph_data_chart_circles.svg,chart-circles.svg
graph_data_chart_cohort.svg,chart-cohort.svg
graph_data_chart_column.svg,chart-column.svg
graph_data_chart_covariate.svg,chart-covariate.svg
graph_data_chart_donut.svg,chart-donut.svg
graph_data_chart_dots.svg,chart-dots.svg
graph_data_chart_funnel.svg,chart-funnel.svg
graph_data_chart_histogram.svg,chart-histogram.svg
graph_data_chart_infographic.svg,chart-infographic.svg
graph_data_chart_line.svg,chart-line.svg
graph_data_chart_pie.svg,chart-pie.svg
graph_data_chart_ppf.svg,chart-ppf.svg
graph_data_chart_radar.svg,chart-radar.svg
graph_data_chart_sankey.svg,chart-sankey.svg
graph_data_chart_scatter.svg,chart-scatter.svg
graph_data_chart_treemap.svg,chart-treemap.svg
graph_data_file_chart.svg,file-chart.svg
media_camera.svg,camera.svg
media_camera_ai.svg,camera-ai.svg
media_camera_cancel.svg,camera-cancel.svg
media_camera_check.svg,camera-check.svg
media_camera_down.svg,camera-down.svg
media_camera_minus.svg,camera-minus.svg
media_camera_moon.svg,camera-moon.svg
media_camera_pause.svg,camera-pause.svg
media_camera_plus.svg,camera-plus.svg
media_camera_rotate.svg,camera-rotate.svg
media_camera_search.svg,camera-search.svg
media_camera_selfie.svg,camera-selfie.svg
media_camera_share.svg,camera-share.svg
media_camera_spark.svg,camera-spark.svg
media_camera_star.svg,camera-star.svg
media_camera_up.svg,camera-up.svg
media_camera_x.svg,camera-x.svg
media_device_camera_phone.svg,device-camera-phone.svg
media_device_computer_camera.svg,device-computer-camera.svg
media_photo_cancel.svg,photo-cancel.svg
media_photo_check.svg,photo-check.svg
media_photo_circle_minus.svg,photo-circle-minus.svg
media_photo_circle_plus.svg,photo-circle-plus.svg
media_photo_minus.svg,photo-minus.svg
media_photo_pause.svg,photo-pause.svg
media_photo_plus.svg,photo-plus.svg
media_photo_search.svg,photo-search.svg
media_photo_share.svg,photo-share.svg
media_photo_video.svg,photo-video.svg
media_photo_x.svg,photo-x.svg
navigation_arrows_cross.svg,arrows-cross.svg
navigation_arrows_diagonal.svg,arrows-diagonal.svg
navigation_arrows_diagonal_2.svg,arrows-diagonal-2.svg
navigation_arrows_diagonal_minimize.svg,arrows-diagonal-minimize.svg
navigation_arrows_diff.svg,arrows-diff.svg
navigation_arrows_down.svg,arrows-down.svg
navigation_arrows_down_up.svg,arrows-down-up.svg
navigation_arrows_exchange.svg,arrows-exchange.svg
navigation_arrows_exchange_2.svg,arrows-exchange-2.svg
navigation_arrows_horizontal.svg,arrows-horizontal.svg
navigation_arrows_join.svg,arrows-join.svg
navigation_arrows_join_2.svg,arrows-join-2.svg
navigation_arrows_left.svg,arrows-left.svg
navigation_arrows_maximize.svg,arrows-maximize.svg
navigation_arrows_minimize.svg,arrows-minimize.svg
navigation_arrows_move.svg,arrows-move.svg
navigation_arrows_random.svg,arrows-random.svg
navigation_arrows_right.svg,arrows-right.svg
navigation_arrows_shuffle.svg,arrows-shuffle.svg
navigation_arrows_sort.svg,arrows-sort.svg
navigation_arrows_split.svg,arrows-split.svg
navigation_arrows_up.svg,arrows-up.svg
navigation_arrows_vertical.svg,arrows-vertical.svg
navigation_direction_arrows.svg,direction-arrows.svg
project_clipboard_list.svg,clipboard-list.svg
project_file.svg,file.svg
project_file_check.svg,file-check.svg
project_file_description.svg,file-description.svg
project_file_minus.svg,file-minus.svg
project_file_plus.svg,file-plus.svg
project_file_search.svg,file-search.svg
project_file_stack.svg,file-stack.svg
project_file_x.svg,file-x.svg
project_folder.svg,folder.svg
project_folder_bolt.svg,folder-bolt.svg
project_folder_cancel.svg,folder-cancel.svg
project_folder_check.svg,folder-check.svg
project_folder_down.svg,folder-down.svg
project_folder_minus.svg,folder-minus.svg
project_folder_open.svg,folder-open.svg
project_folder_pause.svg,folder-pause.svg
project_folder_plus.svg,folder-plus.svg
project_folder_root.svg,folder-root.svg
project_folder_search.svg,folder-search.svg
project_folder_share.svg,folder-share.svg
project_folder_star.svg,folder-star.svg
project_folder_symlink.svg,folder-symlink.svg
project_folder_up.svg,folder-up.svg
project_folder_x.svg,folder-x.svg
project_folders.svg,folders.svg
project_layout_dashboard.svg,layout-dashboard.svg
project_layout_list.svg,layout-list.svg
project_notebook.svg,notebook.svg
project_notes.svg,notes.svg
status_security_calendar_clock.svg,calendar-clock.svg
status_security_clock.svg,clock.svg
status_security_clock_12.svg,clock-12.svg
status_security_clock_2.svg,clock-2.svg
status_security_clock_24.svg,clock-24.svg
status_security_clock_bolt.svg,clock-bolt.svg
status_security_clock_cancel.svg,clock-cancel.svg
status_security_clock_check.svg,clock-check.svg
status_security_clock_down.svg,clock-down.svg
status_security_clock_minus.svg,clock-minus.svg
status_security_clock_pause.svg,clock-pause.svg
status_security_clock_play.svg,clock-play.svg
status_security_clock_plus.svg,clock-plus.svg
status_security_clock_record.svg,clock-record.svg
status_security_clock_share.svg,clock-share.svg
status_security_clock_shield.svg,clock-shield.svg
status_security_clock_star.svg,clock-star.svg
status_security_clock_stop.svg,clock-stop.svg
status_security_clock_up.svg,clock-up.svg
status_security_clock_x.svg,clock-x.svg
status_security_cloud_lock.svg,cloud-lock.svg
status_security_cloud_lock_open.svg,cloud-lock-open.svg
status_security_rotate_clockwise.svg,rotate-clockwise.svg
status_security_shield_lock.svg,shield-lock.svg
story_world_message_2_heart.svg,message-2-heart.svg
story_world_message_2_star.svg,message-2-star.svg
story_world_message_circle_star.svg,message-circle-star.svg
story_world_message_circle_user.svg,message-circle-user.svg
story_world_message_heart.svg,message-heart.svg
story_world_message_star.svg,message-star.svg
story_world_message_user.svg,message-user.svg
story_world_messages.svg,messages.svg
story_world_user_heart.svg,user-heart.svg
story_world_user_star.svg,user-star.svg
story_world_users.svg,users.svg
story_world_users_group.svg,users-group.svg
story_world_users_minus.svg,users-minus.svg
story_world_users_plus.svg,users-plus.svg
